Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2005,40.2734977302,30.1942387439,1.78142633005,7.08747233385,36.6378160971,49.8732155067,47.7799596249,9.22829009623,5.08106707075,33.395188075,8.04164108693,54.8971628356,5.03969467316,2.45967070181,56.6134956917,4.5539495241,0.725384484911,33.5554766945,12.6684712544,155.678063395,2.43187838002,22.4196335624,25.5588368784,11.3342511704,38.8287502369,25.0857651113,10.7317848173,21.9961169992,47.105245851,26.4607467756,45.4446421792,18.3721678294,7.12970661853,42.9056890159,8.30319237346,18.3059252374,1.99077997899,69.5908756479,15.2700641773,6.30546203368,9.04156010034,45.5052631652,58.857958725,30.8198978467,39.5102327407,12.6549397264,32.529001501,26.9198134138,38.4960448353
2006,34.3227405796,50.7063174419,22.1100916104,10.9340948069,48.2757890551,63.9678800883,37.8245559455,16.3559335886,20.8235813095,6.11498171383,12.5964695493,45.2542311224,7.82341169369,7.11236635117,36.0524372311,9.86068223492,12.8393125225,14.4078363363,12.8511357913,180.528717554,3.29828667493,66.7825076392,38.858667505,4.87435932334,38.8769040146,36.5206031277,0.344202357339,83.6116157329,34.5692669096,29.4193044937,63.4326213703,22.7791773963,5.88017722101,41.3746044726,6.69581233325,18.5024204124,0.118897991608,106.431058213,10.0477804423,10.9208520195,19.7825757121,42.2803892403,54.2509826323,26.9877300378,35.5894676094,29.1675256544,44.3590311385,35.7195749067,47.6723964633
2007,23.6334948979,41.9889718746,39.8747279499,13.4332681143,66.6513868275,47.9999923373,52.5405431349,9.72602318113,21.6791186647,2.87597209754,0.640171226567,37.7223903127,8.7243416015,31.6275148119,26.1312466495,6.56577658631,17.718666337,26.1582920388,20.6832555643,175.210523325,0.0973697863707,21.5244469033,32.920996437,3.25248294612,47.2004267603,16.9557228446,16.2673008686,78.5897850332,37.2432371852,23.862768612,70.887500006,14.1304462963,16.2141293443,34.4833605945,23.4155021192,9.34032293244,1.70421806296,123.729995955,12.4452423349,0.586909673845,9.03277444335,16.7487883118,57.1125979707,20.40463726,32.1456640141,1.28529049847,51.0100377244,15.3361374022,40.261868457
2008,30.2205597998,27.2497629139,43.4645158801,17.238863245,61.5703433413,35.741892579,41.5529379008,8.65443070379,12.9255759051,5.65871939257,0.923989387235,36.6734532948,16.5802457933,31.9995357956,22.6544741948,12.2619495584,11.9222141021,15.698718597,12.1838066007,215.014407273,14.6503630153,29.0888247416,34.5732416303,7.65005382164,42.6873921861,23.0944660485,18.5393267633,38.2145604085,72.7084449318,22.3995874435,65.1697299427,13.1479116944,20.3033378069,31.3036053061,23.8249710624,7.76099588274,4.0632963629,161.483033045,15.7283018598,14.2840441129,9.59822853947,23.6857260862,53.1038517191,22.0098739181,49.5082709206,15.4355130091,45.6258117777,39.5207875248,50.2114385179
2009,35.0326375155,21.4276241097,50.0255498611,21.1407510909,51.001574157,47.1086896935,86.3300885372,8.68702843267,20.0406125822,1.9211853422,9.60554691579,50.2269493221,4.9117517512,25.0613280984,16.4277776989,21.1376520779,0.944060007359,9.50254312114,8.6042552274,211.058483565,14.5963945252,18.9836281683,32.3947976665,3.52355305144,45.4567743349,0.930716858845,32.0540553788,98.5304528559,57.5180041928,32.3600886875,80.9206029999,11.4187683227,48.7743922139,49.1936010393,28.0330948771,10.2766691227,12.8376552992,96.3297461854,21.24502424,4.01504129237,7.48126069882,12.4098913752,49.9456785009,11.979811024,46.321873839,14.8905958007,39.7427224205,50.9195214693,39.8099437496
2010,38.7832687334,12.0578586918,60.8586347717,18.7481932913,58.3798936231,63.9032652793,11.7229769167,0.713645421002,7.99674605191,1.67101441104,4.90281371882,40.1260666731,10.9938413079,36.4822569119,0.125126770301,22.6029201742,12.6792931529,17.6543780668,18.283515518,207.561651621,3.32250028006,15.9057690096,32.8761442884,7.59686110932,30.6230100582,29.3121874929,38.9578578253,40.5577948234,54.5010793764,17.0069120546,51.1807302173,18.6209627023,7.19124243694,36.4737892858,19.5627699817,4.93013203096,6.23749630868,106.045335649,21.4419104111,11.3179299459,31.1146393337,18.2054066028,57.2835889603,19.2960990545,52.2087771296,4.43147480505,27.0886708626,24.645351079,53.5671208247
